CustomerID	AccountNumber	CustomerType	AvgOrderValue
599	AW00000599	S	133739.07
85	AW00000085	S	109230.41
278	AW00000278	S	107997.89
623	AW00000623	S	102120.86
193	AW00000193	S	97760.15
72	AW00000072	S	93289.69
234	AW00000234	S	89427.19
205	AW00000205	S	88785.5
239	AW00000239	S	88701.31
154	AW00000154	S	85837.45
230	AW00000230	S	84439.18
546	AW00000546	S	83952.25
638	AW00000638	S	80468.24
448	AW00000448	S	80438.21
24	AW00000024	S	79528.31
436	AW00000436	S	77167.56
496	AW00000496	S	75319.99
520	AW00000520	S	74996.3
4	AW00000004	S	73315.62
608	AW00000608	S	73189.55
697	AW00000697	S	73092.27
175	AW00000175	S	72527.79
79	AW00000079	S	71504.39
170	AW00000170	S	71154.1
614	AW00000614	S	70936.47
142	AW00000142	S	70675.33
678	AW00000678	S	70159.06
502	AW00000502	S	69952.62
346	AW00000346	S	69131.6
328	AW00000328	S	68062.96
302	AW00000302	S	68013.06
236	AW00000236	S	67068.26
133	AW00000133	S	67052.32
514	AW00000514	S	66606.49
290	AW00000290	S	66528.09
155	AW00000155	S	65647.75
366	AW00000366	S	65380.58
642	AW00000642	S	64744.17
433	AW00000433	S	61748.82
227	AW00000227	S	60899.89
169	AW00000169	S	60753.64
166	AW00000166	S	60606.05
146	AW00000146	S	60358.3
539	AW00000539	S	59963.28
343	AW00000343	S	59744.66
670	AW00000670	S	59322.06
16	AW00000016	S	59300.23
245	AW00000245	S	59102.38
506	AW00000506	S	58400.32
167	AW00000167	S	57791.87
533	AW00000533	S	57296.65
97	AW00000097	S	57092.43
566	AW00000566	S	55751.69
10	AW00000010	S	55482.73
254	AW00000254	S	55414.51
573	AW00000573	S	55292.45
536	AW00000536	S	55124.17
182	AW00000182	S	54163.41
621	AW00000621	S	53994.49
110	AW00000110	S	53438
490	AW00000490	S	52304.57
308	AW00000308	S	52200.72
90	AW00000090	S	52087.84
78	AW00000078	S	51631.85
309	AW00000309	S	51551.34
499	AW00000499	S	51160.98
605	AW00000605	S	51050.84
52	AW00000052	S	50472.17
461	AW00000461	S	50003.34
475	AW00000475	S	49876.49
408	AW00000408	S	49450.26
320	AW00000320	S	49331.9
263	AW00000263	S	49112.36
512	AW00000512	S	48605.78
218	AW00000218	S	48389.79
91	AW00000091	S	48314.67
650	AW00000650	S	48090.8
331	AW00000331	S	46778.55
266	AW00000266	S	46554.27
454	AW00000454	S	46464.9
611	AW00000611	S	46209.33
420	AW00000420	S	45506.27
363	AW00000363	S	45265.68
130	AW00000130	S	44957.84
54	AW00000054	S	44794.01
594	AW00000594	S	44631.62
693	AW00000693	S	44516.66
538	AW00000538	S	44325.92
40	AW00000040	S	43875.54
61	AW00000061	S	43667.76
579	AW00000579	S	43284.28
258	AW00000258	S	42367.4
281	AW00000281	S	42303.06
660	AW00000660	S	42050.21
81	AW00000081	S	41832.87
312	AW00000312	S	41030.23
505	AW00000505	S	40962.97
299	AW00000299	S	40627.86
109	AW00000109	S	40277.34
84	AW00000084	S	40228.23
481	AW00000481	S	40027.69
479	AW00000479	S	39772.2
567	AW00000567	S	39724.79
257	AW00000257	S	39540.48
196	AW00000196	S	39239.29
403	AW00000403	S	38930.8
430	AW00000430	S	38709.48
260	AW00000260	S	38706.68
523	AW00000523	S	38634.68
687	AW00000687	S	38441.09
145	AW00000145	S	38327.64
376	AW00000376	S	37755.47
87	AW00000087	S	37249.13
397	AW00000397	S	37209.42
199	AW00000199	S	37147.01
451	AW00000451	S	37024.57
632	AW00000632	S	36990.95
672	AW00000672	S	36971.92
487	AW00000487	S	36946.05
163	AW00000163	S	36855.44
345	AW00000345	S	36798.73
21	AW00000021	S	36728.65
476	AW00000476	S	36701.34
57	AW00000057	S	36558.39
352	AW00000352	S	36529.36
414	AW00000414	S	36528.69
393	AW00000393	S	36351.93
15	AW00000015	S	36345.03
354	AW00000354	S	36186.15
653	AW00000653	S	36150.65
125	AW00000125	S	36103.39
203	AW00000203	S	35871.51
233	AW00000233	S	35830.64
221	AW00000221	S	35754.24
385	AW00000385	S	35657.57
666	AW00000666	S	35609.51
149	AW00000149	S	35538.2
48	AW00000048	S	35485.41
484	AW00000484	S	35458.57
648	AW00000648	S	35376.06
676	AW00000676	S	35225.55
384	AW00000384	S	35218.63
327	AW00000327	S	34821.07
435	AW00000435	S	34801.6
442	AW00000442	S	34721.12
469	AW00000469	S	34710.21
293	AW00000293	S	34609.21
184	AW00000184	S	34604.04
584	AW00000584	S	34428.96
381	AW00000381	S	34299.44
340	AW00000340	S	34148.24
426	AW00000426	S	33625.91
43	AW00000043	S	33582.6
618	AW00000618	S	33509.04
391	AW00000391	S	33209.59
118	AW00000118	S	33129.44
176	AW00000176	S	33035.93
75	AW00000075	S	32988.94
206	AW00000206	S	32951.09
581	AW00000581	S	32900.23
684	AW00000684	S	32855.06
127	AW00000127	S	32737.27
418	AW00000418	S	32732.05
119	AW00000119	S	32707.99
588	AW00000588	S	32678.72
552	AW00000552	S	32094.03
173	AW00000173	S	32032.83
355	AW00000355	S	31746.61
491	AW00000491	S	31704.5
179	AW00000179	S	31673.31
100	AW00000100	S	31448.45
569	AW00000569	S	31339.26
685	AW00000685	S	31277.41
530	AW00000530	S	31172.34
12	AW00000012	S	31161.94
18	AW00000018	S	31138.21
197	AW00000197	S	31046.1
187	AW00000187	S	31012.23
437	AW00000437	S	30987.6
3	AW00000003	S	30166.59
700	AW00000700	S	30159.89
88	AW00000088	S	29372.86
497	AW00000497	S	29369.67
464	AW00000464	S	29332.11
482	AW00000482	S	29138.31
231	AW00000231	S	29075.24
55	AW00000055	S	28883.32
267	AW00000267	S	28771.41
457	AW00000457	S	28573.61
361	AW00000361	S	28225.06
582	AW00000582	S	28222.17
297	AW00000297	S	28163
627	AW00000627	S	28112.11
66	AW00000066	S	28065.93
108	AW00000108	S	27611.11
131	AW00000131	S	26778.83
691	AW00000691	S	26742.86
249	AW00000249	S	26690.27
315	AW00000315	S	26526.1
682	AW00000682	S	26397.53
688	AW00000688	S	26380.22
103	AW00000103	S	26347.28
535	AW00000535	S	26211.89
34	AW00000034	S	25820.7
282	AW00000282	S	25557.6
558	AW00000558	S	24960.87
326	AW00000326	S	24776.55
264	AW00000264	S	24591.85
556	AW00000556	S	24293.36
317	AW00000317	S	24179.91
509	AW00000509	S	23807.06
544	AW00000544	S	23355.14
73	AW00000073	S	23187.61
336	AW00000336	S	23183.19
272	AW00000272	S	23159.36
64	AW00000064	S	22969.78
575	AW00000575	S	22841.28
527	AW00000527	S	22347.17
240	AW00000240	S	22077.7
364	AW00000364	S	21872.84
485	AW00000485	S	21817.54
644	AW00000644	S	21653.54
1	AW00000001	S	21294.27
273	AW00000273	S	20864.28
549	AW00000549	S	20459.65
453	AW00000453	S	20343.06
667	AW00000667	S	19771.44
102	AW00000102	S	19175.3
542	AW00000542	S	19136.41
255	AW00000255	S	19035
585	AW00000585	S	18729
494	AW00000494	S	18656.83
45	AW00000045	S	18607.12
139	AW00000139	S	18444.35
396	AW00000396	S	18282.07
279	AW00000279	S	18174.54
306	AW00000306	S	18013.73
136	AW00000136	S	17813.21
222	AW00000222	S	17440.26
29	AW00000029	S	17287.58
