CustomerID	AccountNumber	CustomerType	OrderCount
1	AW00000001	S	4
2	AW00000002	S	8
3	AW00000003	S	12
4	AW00000004	S	8
5	AW00000005	S	8
6	AW00000006	S	4
7	AW00000007	S	4
8	AW00000008	S	4
9	AW00000009	S	7
10	AW00000010	S	8
11	AW00000011	S	4
12	AW00000012	S	8
14	AW00000014	S	8
15	AW00000015	S	4
16	AW00000016	S	8
17	AW00000017	S	12
18	AW00000018	S	12
19	AW00000019	S	1
20	AW00000020	S	12
21	AW00000021	S	8
22	AW00000022	S	10
23	AW00000023	S	8
24	AW00000024	S	8
25	AW00000025	S	8
26	AW00000026	S	3
27	AW00000027	S	9
28	AW00000028	S	4
29	AW00000029	S	4
30	AW00000030	S	8
31	AW00000031	S	2
33	AW00000033	S	4
34	AW00000034	S	4
36	AW00000036	S	10
37	AW00000037	S	8
38	AW00000038	S	4
39	AW00000039	S	8
40	AW00000040	S	4
41	AW00000041	S	8
43	AW00000043	S	8
44	AW00000044	S	4
45	AW00000045	S	12
46	AW00000046	S	1
47	AW00000047	S	12
48	AW00000048	S	4
49	AW00000049	S	3
50	AW00000050	S	1
51	AW00000051	S	3
52	AW00000052	S	4
53	AW00000053	S	4
54	AW00000054	S	12
55	AW00000055	S	4
56	AW00000056	S	5
57	AW00000057	S	4
58	AW00000058	S	5
59	AW00000059	S	4
61	AW00000061	S	8
62	AW00000062	S	8
63	AW00000063	S	11
64	AW00000064	S	4
65	AW00000065	S	8
66	AW00000066	S	4
67	AW00000067	S	7
68	AW00000068	S	8
69	AW00000069	S	4
70	AW00000070	S	3
72	AW00000072	S	8
73	AW00000073	S	7
74	AW00000074	S	1
75	AW00000075	S	12
77	AW00000077	S	8
78	AW00000078	S	8
79	AW00000079	S	8
80	AW00000080	S	4
81	AW00000081	S	8
83	AW00000083	S	4
84	AW00000084	S	12
85	AW00000085	S	4
86	AW00000086	S	4
87	AW00000087	S	4
88	AW00000088	S	4
89	AW00000089	S	7
90	AW00000090	S	8
91	AW00000091	S	4
92	AW00000092	S	4
93	AW00000093	S	4
94	AW00000094	S	8
95	AW00000095	S	4
96	AW00000096	S	3
97	AW00000097	S	8
98	AW00000098	S	8
99	AW00000099	S	11
100	AW00000100	S	4
101	AW00000101	S	8
102	AW00000102	S	8
103	AW00000103	S	4
104	AW00000104	S	7
106	AW00000106	S	3
107	AW00000107	S	12
108	AW00000108	S	8
109	AW00000109	S	4
110	AW00000110	S	4
111	AW00000111	S	4
112	AW00000112	S	3
113	AW00000113	S	4
114	AW00000114	S	4
115	AW00000115	S	8
116	AW00000116	S	4
117	AW00000117	S	6
118	AW00000118	S	12
119	AW00000119	S	12
120	AW00000120	S	4
121	AW00000121	S	7
122	AW00000122	S	4
123	AW00000123	S	4
124	AW00000124	S	5
125	AW00000125	S	8
126	AW00000126	S	11
127	AW00000127	S	4
128	AW00000128	S	6
129	AW00000129	S	1
130	AW00000130	S	4
131	AW00000131	S	4
133	AW00000133	S	4
134	AW00000134	S	3
135	AW00000135	S	4
