CustomerID	AccountNumber	CustomerType	JSON_ARRAYAGG(
        JSON_OBJECT( 
            'SalesOrderID', soh.SalesOrderID,
            'OrderDate', soh.OrderDate,
            'TotalDue', soh.TotalDue
        )
    )
1	AW00000001	S	[{"TotalDue": 34722.9906, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46042}, {"TotalDue": 14603.7393, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43860}, {"TotalDue": 26128.8674, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44501}, {"TotalDue": 37643.1378, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45283}]
2	AW00000002	S	[{"TotalDue": 10184.0774, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46976}, {"TotalDue": 1935.5166, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50216}, {"TotalDue": 3905.2547, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51728}, {"TotalDue": 5469.5941, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47997}, {"TotalDue": 1739.4078, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49054}, {"TotalDue": 908.3199, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69488}, {"TotalDue": 4537.8484, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57044}, {"TotalDue": 4053.9506, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63198}]
3	AW00000003	S	[{"TotalDue": 44320.5063, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59011}, {"TotalDue": 17051.8292, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65310}, {"TotalDue": 78578.9054, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47439}, {"TotalDue": 56574.3871, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48378}, {"TotalDue": 30829.4534, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49538}, {"TotalDue": 52087.493, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50748}, {"TotalDue": 20504.1755, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44124}, {"TotalDue": 19248.6666, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44791}, {"TotalDue": 20205.6303, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45568}, {"TotalDue": 13034.7793, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46377}, {"TotalDue": 92196.9738, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53616}, {"TotalDue": 34873.5257, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71889}]
4	AW00000004	S	[{"TotalDue": 74493.3456, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61193}, {"TotalDue": 69032.2562, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67292}, {"TotalDue": 132199.8023, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47658}, {"TotalDue": 107226.5105, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48740}, {"TotalDue": 104017.8946, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49821}, {"TotalDue": 130825.509, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46642}, {"TotalDue": 81071.7428, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51122}, {"TotalDue": 81168.1511, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55233}]
5	AW00000005	S	[{"TotalDue": 22896.2823, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47436}, {"TotalDue": 10474.4078, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48374}, {"TotalDue": 20402.1159, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53607}, {"TotalDue": 9344.2027, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49534}, {"TotalDue": 10093.8002, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50746}, {"TotalDue": 11856.1061, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71890}, {"TotalDue": 20366.8811, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59014}, {"TotalDue": 8785.0045, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65307}]
6	AW00000006	S	[{"TotalDue": 617.707, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65287}, {"TotalDue": 602.2606, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59030}, {"TotalDue": 66.2255, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53596}, {"TotalDue": 2361.6403, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71915}]
7	AW00000007	S	[{"TotalDue": 2706.8117, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47667}, {"TotalDue": 1954.8747, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48765}, {"TotalDue": 1763.9057, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49861}, {"TotalDue": 3944.2243, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46613}]
