SalesOrderID	OrderDate	CustomerID	AccountNumber	SalesPersonID	SalesPersonTerritoryID	CommissionPct	TotalDue
75084	2004-07-31 00:00:00	11078	AW00011078	NULL	NULL	NULL	132.6
75085	2004-07-31 00:00:00	11927	AW00011927	NULL	NULL	NULL	18.72
75086	2004-07-31 00:00:00	28789	AW00028789	NULL	NULL	NULL	8.78
75087	2004-07-31 00:00:00	11794	AW00011794	NULL	NULL	NULL	38.66
75088	2004-07-31 00:00:00	14680	AW00014680	NULL	NULL	NULL	125.93
75089	2004-07-31 00:00:00	19585	AW00019585	NULL	NULL	NULL	66.82
75090	2004-07-31 00:00:00	27686	AW00027686	NULL	NULL	NULL	82.85
75091	2004-07-31 00:00:00	20601	AW00020601	NULL	NULL	NULL	88.92
75092	2004-07-31 00:00:00	26564	AW00026564	NULL	NULL	NULL	55.22
75093	2004-07-31 00:00:00	16170	AW00016170	NULL	NULL	NULL	173.03
75094	2004-07-31 00:00:00	16927	AW00016927	NULL	NULL	NULL	8.78
75095	2004-07-31 00:00:00	11657	AW00011657	NULL	NULL	NULL	59.66
75096	2004-07-31 00:00:00	11287	AW00011287	NULL	NULL	NULL	98.31
75097	2004-07-31 00:00:00	21717	AW00021717	NULL	NULL	NULL	49.7
75098	2004-07-31 00:00:00	23381	AW00023381	NULL	NULL	NULL	41.18
75099	2004-07-31 00:00:00	21163	AW00021163	NULL	NULL	NULL	80.59
75100	2004-07-31 00:00:00	13350	AW00013350	NULL	NULL	NULL	86.72
75101	2004-07-31 00:00:00	20201	AW00020201	NULL	NULL	NULL	147.51
75102	2004-07-31 00:00:00	19893	AW00019893	NULL	NULL	NULL	132.58
75103	2004-07-31 00:00:00	18529	AW00018529	NULL	NULL	NULL	44.18
75104	2004-07-31 00:00:00	17151	AW00017151	NULL	NULL	NULL	14.3
75105	2004-07-31 00:00:00	15160	AW00015160	NULL	NULL	NULL	109.35
