CustomerID	AccountNumber	CustomerType	OrderCount	TotalSales
697	AW00000697	S	12	877107.19
170	AW00000170	S	12	853849.18
678	AW00000678	S	12	841908.77
328	AW00000328	S	12	816755.58
514	AW00000514	S	12	799277.9
155	AW00000155	S	12	787773.04
72	AW00000072	S	8	746317.53
433	AW00000433	S	12	740985.83
227	AW00000227	S	12	730798.71
166	AW00000166	S	12	727272.65
146	AW00000146	S	12	724299.64
670	AW00000670	S	12	711864.76
506	AW00000506	S	12	700803.79
167	AW00000167	S	12	693502.49
546	AW00000546	S	8	671618.03
638	AW00000638	S	8	643745.9
24	AW00000024	S	8	636226.47
309	AW00000309	S	12	618616.13
436	AW00000436	S	8	617340.46
496	AW00000496	S	8	602559.89
4	AW00000004	S	8	586524.95
608	AW00000608	S	8	585516.43
175	AW00000175	S	8	580222.33
650	AW00000650	S	12	577089.57
79	AW00000079	S	8	572035.11
502	AW00000502	S	8	559620.95
54	AW00000054	S	12	537528.1
236	AW00000236	S	8	536546.12
599	AW00000599	S	4	534956.28
290	AW00000290	S	8	532224.76
579	AW00000579	S	12	519411.36
312	AW00000312	S	12	492362.76
84	AW00000084	S	12	482738.7
343	AW00000343	S	8	477957.27
16	AW00000016	S	8	474401.85
245	AW00000245	S	8	472819.05
533	AW00000533	S	8	458373.19
97	AW00000097	S	8	456739.47
566	AW00000566	S	8	446013.54
10	AW00000010	S	8	443861.82
254	AW00000254	S	8	443316.11
85	AW00000085	S	4	436921.65
278	AW00000278	S	4	431991.55
221	AW00000221	S	12	429050.87
385	AW00000385	S	12	427890.84
648	AW00000648	S	12	424512.69
676	AW00000676	S	12	422706.6
490	AW00000490	S	8	418436.53
90	AW00000090	S	8	416702.73
442	AW00000442	S	12	416653.48
293	AW00000293	S	12	415310.55
78	AW00000078	S	8	413054.82
499	AW00000499	S	8	409287.8
623	AW00000623	S	4	408483.45
618	AW00000618	S	12	402108.47
475	AW00000475	S	8	399011.95
118	AW00000118	S	12	397553.27
75	AW00000075	S	12	395867.27
206	AW00000206	S	12	395413.13
684	AW00000684	S	12	394260.69
418	AW00000418	S	12	392784.6
119	AW00000119	S	12	392495.88
193	AW00000193	S	4	391040.59
218	AW00000218	S	8	387118.35
173	AW00000173	S	12	384394.02
491	AW00000491	S	12	380454.03
18	AW00000018	S	12	373658.47
187	AW00000187	S	12	372146.73
3	AW00000003	S	12	361999.06
234	AW00000234	S	4	357708.77
594	AW00000594	S	8	357052.94
205	AW00000205	S	4	355141.98
239	AW00000239	S	4	354805.25
538	AW00000538	S	8	354607.32
61	AW00000061	S	8	349342.11
154	AW00000154	S	4	343349.78
258	AW00000258	S	8	338939.2
230	AW00000230	S	4	337756.73
660	AW00000660	S	8	336401.66
81	AW00000081	S	8	334662.99
299	AW00000299	S	8	325022.91
448	AW00000448	S	4	321752.83
481	AW00000481	S	8	320221.55
479	AW00000479	S	8	318177.59
257	AW00000257	S	8	316323.81
403	AW00000403	S	8	311446.43
430	AW00000430	S	8	309675.84
523	AW00000523	S	8	309077.41
376	AW00000376	S	8	302043.77
520	AW00000520	S	4	299985.2
558	AW00000558	S	12	299530.49
345	AW00000345	S	8	294389.81
21	AW00000021	S	8	293829.19
476	AW00000476	S	8	293610.72
352	AW00000352	S	8	292234.85
414	AW00000414	S	8	292229.54
317	AW00000317	S	12	290158.93
354	AW00000354	S	8	289489.2
125	AW00000125	S	8	288827.11
203	AW00000203	S	8	286972.09
233	AW00000233	S	8	286645.14
666	AW00000666	S	8	284876.07
149	AW00000149	S	8	284305.63
614	AW00000614	S	4	283745.88
142	AW00000142	S	4	282701.32
327	AW00000327	S	8	278568.57
435	AW00000435	S	8	278412.8
336	AW00000336	S	12	278198.22
346	AW00000346	S	4	276526.4
381	AW00000381	S	8	274395.55
340	AW00000340	S	8	273185.89
302	AW00000302	S	4	272052.23
426	AW00000426	S	8	269007.3
43	AW00000043	S	8	268660.8
133	AW00000133	S	4	268209.29
527	AW00000527	S	12	268166.05
366	AW00000366	S	4	261522.33
588	AW00000588	S	8	261429.77
642	AW00000642	S	4	258976.68
355	AW00000355	S	8	253972.86
685	AW00000685	S	8	250219.28
530	AW00000530	S	8	249378.68
12	AW00000012	S	8	249295.55
197	AW00000197	S	8	248368.82
437	AW00000437	S	8	247900.77
169	AW00000169	S	4	243014.55
539	AW00000539	S	4	239853.12
497	AW00000497	S	8	234957.32
272	AW00000272	S	10	231593.64
255	AW00000255	S	12	228419.95
45	AW00000045	S	12	223285.39
573	AW00000573	S	4	221169.78
108	AW00000108	S	8	220888.85
536	AW00000536	S	4	220496.69
182	AW00000182	S	4	216653.62
621	AW00000621	S	4	215977.96
110	AW00000110	S	4	213752
315	AW00000315	S	8	212208.84
535	AW00000535	S	8	209695.15
308	AW00000308	S	4	208802.87
605	AW00000605	S	4	204203.37
52	AW00000052	S	4	201888.66
461	AW00000461	S	4	200013.37
408	AW00000408	S	4	197801.06
320	AW00000320	S	4	197327.59
263	AW00000263	S	4	196449.44
