ProductID	ProductName	ProductSubcategoryID	SubcategoryName	ProductCategoryID	CategoryName
1	Adjustable Race	NULL	NULL	NULL	NULL
3	BB Ball Bearing	NULL	NULL	NULL	NULL
2	Bearing Ball	NULL	NULL	NULL	NULL
316	Blade	NULL	NULL	NULL	NULL
324	Chain Stays	NULL	NULL	NULL	NULL
322	Chainring	NULL	NULL	NULL	NULL
320	Chainring Bolts	NULL	NULL	NULL	NULL
321	Chainring Nut	NULL	NULL	NULL	NULL
505	Cone-Shaped Race	NULL	NULL	NULL	NULL
323	Crown Race	NULL	NULL	NULL	NULL
504	Cup-Shaped Race	NULL	NULL	NULL	NULL
325	Decal 1	NULL	NULL	NULL	NULL
326	Decal 2	NULL	NULL	NULL	NULL
327	Down Tube	NULL	NULL	NULL	NULL
409	External Lock Washer 1	NULL	NULL	NULL	NULL
411	External Lock Washer 2	NULL	NULL	NULL	NULL
403	External Lock Washer 3	NULL	NULL	NULL	NULL
404	External Lock Washer 4	NULL	NULL	NULL	NULL
406	External Lock Washer 5	NULL	NULL	NULL	NULL
408	External Lock Washer 6	NULL	NULL	NULL	NULL
407	External Lock Washer 7	NULL	NULL	NULL	NULL
410	External Lock Washer 8	NULL	NULL	NULL	NULL
405	External Lock Washer 9	NULL	NULL	NULL	NULL
341	Flat Washer 1	NULL	NULL	NULL	NULL
343	Flat Washer 2	NULL	NULL	NULL	NULL
346	Flat Washer 3	NULL	NULL	NULL	NULL
345	Flat Washer 4	NULL	NULL	NULL	NULL
348	Flat Washer 5	NULL	NULL	NULL	NULL
342	Flat Washer 6	NULL	NULL	NULL	NULL
349	Flat Washer 7	NULL	NULL	NULL	NULL
347	Flat Washer 8	NULL	NULL	NULL	NULL
344	Flat Washer 9	NULL	NULL	NULL	NULL
350	Fork Crown	NULL	NULL	NULL	NULL
331	Fork End	NULL	NULL	NULL	NULL
332	Freewheel	NULL	NULL	NULL	NULL
351	Front Derailleur Cage	NULL	NULL	NULL	NULL
352	Front Derailleur Linkage	NULL	NULL	NULL	NULL
355	Guide Pulley	NULL	NULL	NULL	NULL
398	Handlebar Tube	NULL	NULL	NULL	NULL
399	Head Tube	NULL	NULL	NULL	NULL
4	Headset Ball Bearings	NULL	NULL	NULL	NULL
386	Hex Nut 1	NULL	NULL	NULL	NULL
387	Hex Nut 10	NULL	NULL	NULL	NULL
388	Hex Nut 11	NULL	NULL	NULL	NULL
384	Hex Nut 12	NULL	NULL	NULL	NULL
385	Hex Nut 13	NULL	NULL	NULL	NULL
393	Hex Nut 14	NULL	NULL	NULL	NULL
394	Hex Nut 15	NULL	NULL	NULL	NULL
377	Hex Nut 16	NULL	NULL	NULL	NULL
378	Hex Nut 17	NULL	NULL	NULL	NULL
396	Hex Nut 18	NULL	NULL	NULL	NULL
397	Hex Nut 19	NULL	NULL	NULL	NULL
389	Hex Nut 2	NULL	NULL	NULL	NULL
390	Hex Nut 20	NULL	NULL	NULL	NULL
391	Hex Nut 21	NULL	NULL	NULL	NULL
382	Hex Nut 22	NULL	NULL	NULL	NULL
383	Hex Nut 23	NULL	NULL	NULL	NULL
392	Hex Nut 3	NULL	NULL	NULL	NULL
395	Hex Nut 4	NULL	NULL	NULL	NULL
375	Hex Nut 5	NULL	NULL	NULL	NULL
376	Hex Nut 6	NULL	NULL	NULL	NULL
379	Hex Nut 7	NULL	NULL	NULL	NULL
380	Hex Nut 8	NULL	NULL	NULL	NULL
381	Hex Nut 9	NULL	NULL	NULL	NULL
319	HL Crankarm	NULL	NULL	NULL	NULL
358	HL Grip Tape	NULL	NULL	NULL	NULL
401	HL Hub	NULL	NULL	NULL	NULL
509	HL Mountain Rim	NULL	NULL	NULL	NULL
516	HL Mountain Seat Assembly	NULL	NULL	NULL	NULL
491	HL Nipple	NULL	NULL	NULL	NULL
512	HL Road Rim	NULL	NULL	NULL	NULL
519	HL Road Seat Assembly	NULL	NULL	NULL	NULL
526	HL Shell	NULL	NULL	NULL	NULL
524	HL Spindle/Axle	NULL	NULL	NULL	NULL
522	HL Touring Seat Assembly	NULL	NULL	NULL	NULL
419	Internal Lock Washer 1	NULL	NULL	NULL	NULL
418	Internal Lock Washer 10	NULL	NULL	NULL	NULL
421	Internal Lock Washer 2	NULL	NULL	NULL	NULL
412	Internal Lock Washer 3	NULL	NULL	NULL	NULL
413	Internal Lock Washer 4	NULL	NULL	NULL	NULL
415	Internal Lock Washer 5	NULL	NULL	NULL	NULL
417	Internal Lock Washer 6	NULL	NULL	NULL	NULL
416	Internal Lock Washer 7	NULL	NULL	NULL	NULL
420	Internal Lock Washer 8	NULL	NULL	NULL	NULL
414	Internal Lock Washer 9	NULL	NULL	NULL	NULL
402	Keyed Washer	NULL	NULL	NULL	NULL
317	LL Crankarm	NULL	NULL	NULL	NULL
356	LL Grip Tape	NULL	NULL	NULL	NULL
400	LL Hub	NULL	NULL	NULL	NULL
507	LL Mountain Rim	NULL	NULL	NULL	NULL
514	LL Mountain Seat Assembly	NULL	NULL	NULL	NULL
490	LL Nipple	NULL	NULL	NULL	NULL
510	LL Road Rim	NULL	NULL	NULL	NULL
517	LL Road Seat Assembly	NULL	NULL	NULL	NULL
525	LL Shell	NULL	NULL	NULL	NULL
523	LL Spindle/Axle	NULL	NULL	NULL	NULL
520	LL Touring Seat Assembly	NULL	NULL	NULL	NULL
449	Lock Nut 1	NULL	NULL	NULL	NULL
450	Lock Nut 10	NULL	NULL	NULL	NULL
451	Lock Nut 11	NULL	NULL	NULL	NULL
447	Lock Nut 12	NULL	NULL	NULL	NULL
448	Lock Nut 13	NULL	NULL	NULL	NULL
456	Lock Nut 14	NULL	NULL	NULL	NULL
457	Lock Nut 15	NULL	NULL	NULL	NULL
440	Lock Nut 16	NULL	NULL	NULL	NULL
441	Lock Nut 17	NULL	NULL	NULL	NULL
460	Lock Nut 18	NULL	NULL	NULL	NULL
459	Lock Nut 19	NULL	NULL	NULL	NULL
452	Lock Nut 2	NULL	NULL	NULL	NULL
453	Lock Nut 20	NULL	NULL	NULL	NULL
454	Lock Nut 21	NULL	NULL	NULL	NULL
445	Lock Nut 22	NULL	NULL	NULL	NULL
446	Lock Nut 23	NULL	NULL	NULL	NULL
455	Lock Nut 3	NULL	NULL	NULL	NULL
458	Lock Nut 4	NULL	NULL	NULL	NULL
438	Lock Nut 5	NULL	NULL	NULL	NULL
439	Lock Nut 6	NULL	NULL	NULL	NULL
442	Lock Nut 7	NULL	NULL	NULL	NULL
443	Lock Nut 8	NULL	NULL	NULL	NULL
