epoch_valid_loss: 0.47430492992754336, epoch_train_loss: 0.9153368580291461, epoch: 1
epoch_valid_loss: 0.22761169296723824, epoch_train_loss: 0.3733311750025929, epoch: 2
epoch_valid_loss: 0.10560221707931271, epoch_train_loss: 0.23903025240953, epoch: 3
epoch_valid_loss: 0.09328431739575332, epoch_train_loss: 0.1792230384743862, epoch: 4
epoch_valid_loss: 0.07503403481785897, epoch_train_loss: 0.15044098348984158, epoch: 5
epoch_valid_loss: 0.051525236279876145, epoch_train_loss: 0.12445616800041877, epoch: 6
epoch_valid_loss: 0.037587569638465844, epoch_train_loss: 0.11280756887188766, epoch: 7
epoch_valid_loss: 0.040371584706008434, epoch_train_loss: 0.09882268335311732, epoch: 8
epoch_valid_loss: 0.027988742864518253, epoch_train_loss: 0.08741584987180877, epoch: 9
epoch_valid_loss: 0.03223488528143476, epoch_train_loss: 0.0792685666406005, epoch: 10
epoch_valid_loss: 0.029469217449702597, epoch_train_loss: 0.07143005510893452, epoch: 11
epoch_valid_loss: 0.025241473637935188, epoch_train_loss: 0.06698040994640175, epoch: 12
epoch_valid_loss: 0.01865244391201823, epoch_train_loss: 0.06092021890982175, epoch: 13
epoch_valid_loss: 0.015163772644613075, epoch_train_loss: 0.057852230829705004, epoch: 14
epoch_valid_loss: 0.02258810783839888, epoch_train_loss: 0.05273181266272168, epoch: 15
epoch_valid_loss: 0.014938078376602519, epoch_train_loss: 0.05034070198958015, epoch: 16
epoch_valid_loss: 0.010593131451902014, epoch_train_loss: 0.04694444288901018, epoch: 17
epoch_valid_loss: 0.01103321847902542, epoch_train_loss: 0.04292008978661508, epoch: 18
epoch_valid_loss: 0.009192909881541575, epoch_train_loss: 0.04028728400906509, epoch: 19
epoch_valid_loss: 0.0075827697442879, epoch_train_loss: 0.03674952167273347, epoch: 20
epoch_valid_loss: 0.012479554721115468, epoch_train_loss: 0.03500192918304245, epoch: 21
epoch_valid_loss: 0.004961338333992494, epoch_train_loss: 0.03250958872121217, epoch: 22
epoch_valid_loss: 0.007906628640032269, epoch_train_loss: 0.028924544435871228, epoch: 23
epoch_valid_loss: 0.006913110432193476, epoch_train_loss: 0.027160749916341858, epoch: 24
epoch_valid_loss: 0.010392696312111285, epoch_train_loss: 0.025281240664827773, epoch: 25
epoch_valid_loss: 0.007381046293260253, epoch_train_loss: 0.02507234328167287, epoch: 26
epoch_valid_loss: 0.005735084643001082, epoch_train_loss: 0.022128130513375865, epoch: 27
epoch_valid_loss: 0.00455778750242812, epoch_train_loss: 0.01979881991309827, epoch: 28
epoch_valid_loss: 0.0032841881744658436, epoch_train_loss: 0.020376999682267527, epoch: 29
epoch_valid_loss: 0.002731497511882076, epoch_train_loss: 0.017689509910802165, epoch: 30
epoch_valid_loss: 0.0022398453042519074, epoch_train_loss: 0.016688696002328543, epoch: 31
epoch_valid_loss: 0.0034614139475269002, epoch_train_loss: 0.015673018608482896, epoch: 32
epoch_valid_loss: 0.0026369388250276206, epoch_train_loss: 0.014101564483064379, epoch: 33
epoch_valid_loss: 0.007750654007530237, epoch_train_loss: 0.01239645464341429, epoch: 34
epoch_valid_loss: 0.0006478809906790654, epoch_train_loss: 0.012176681475915505, epoch: 35
epoch_valid_loss: 0.0009766047297253627, epoch_train_loss: 0.010686895551908153, epoch: 36
epoch_valid_loss: 0.0009286440518836672, epoch_train_loss: 0.01067830782669117, epoch: 37
epoch_valid_loss: 0.0007549207561236539, epoch_train_loss: 0.009045562473813532, epoch: 38
epoch_valid_loss: 0.00016757724306107439, epoch_train_loss: 0.008540862089263619, epoch: 39
epoch_valid_loss: 0.0007012831660580963, epoch_train_loss: 0.007938631296242591, epoch: 40
epoch_valid_loss: 0.00043211890931194865, epoch_train_loss: 0.0077402274333530936, epoch: 41
epoch_valid_loss: 0.0002705114085175511, epoch_train_loss: 0.006562685529148804, epoch: 42
epoch_valid_loss: 0.00025643341329365893, epoch_train_loss: 0.006382013398008183, epoch: 43
epoch_valid_loss: 0.00010751443180736344, epoch_train_loss: 0.005582751443090354, epoch: 44
epoch_valid_loss: 0.00011777185298140264, epoch_train_loss: 0.0056404352053429025, epoch: 45
epoch_valid_loss: 7.700428896997537e-05, epoch_train_loss: 0.004362594845162112, epoch: 46
epoch_valid_loss: 0.0001286910481852559, epoch_train_loss: 0.004588854936510227, epoch: 47
epoch_valid_loss: 4.825319087507928e-05, epoch_train_loss: 0.004184725851080649, epoch: 48
epoch_valid_loss: 5.068560930912672e-05, epoch_train_loss: 0.004100220950398785, epoch: 49
epoch_valid_loss: 0.000175307668272311, epoch_train_loss: 0.0036069711985642033, epoch: 50
epoch_valid_loss: 4.008925957855859e-05, epoch_train_loss: 0.0037974627072749722, epoch: 51
epoch_valid_loss: 3.5315724188775574e-05, epoch_train_loss: 0.0036395837619257617, epoch: 52
epoch_valid_loss: 3.6895187417098054e-05, epoch_train_loss: 0.0031215534847326893, epoch: 53
epoch_valid_loss: 0.000252743364938026, epoch_train_loss: 0.003413631173285946, epoch: 54
epoch_valid_loss: 4.709803934693574e-05, epoch_train_loss: 0.0036922571904013, epoch: 55
